kode_rs,nama_rs,alamat,telepon,kode_bps,kelas,kepemilikan,pemilik_raw,jenis_rs,lat,lng,is_valid_coord,needs_geocoding,sumber_data,coverage_periode
3510106,RS Graha Medika,Jl. Raya Genteng,0333-848999,3510,C,swasta,SWASTA/LAINNYA,RSU,-8.403328,114.162686,1,0,SIRS Kemenkes,2026-LIVE
3504078,RS Ibu dan Anak Trisna Medika,Jalan Pahlawan No.210-232,0355 323274,3504,C,swasta,SWASTA/LAINNYA,RSIA,,,0,1,SIRS Kemenkes,2026-LIVE
3508058,RS Umum Daerah Pasirian Kabupaten Lumajang,JALAN RAYA PASIRIAN NOMOR 225A,0334-5761044,3508,C,pemerintah,Pemkab,RSU,-8.208409,113.116416,1,0,SIRS Kemenkes,2026-LIVE
3573262,RS Universitas Brawijaya,Jl. Soekarno Hatta Malang,341403000,3573,C,pemerintah,Kementerian Lain,RSU,-7.941373,112.621556,1,0,SIRS Kemenkes,2026-LIVE
3504081,RS Umum Prima Medika,"Jl. Ir. Soekarno Hatta, No.27B",355335982,3504,D,swasta,SWASTA/LAINNYA,RSU,-8.068401,111.881987,1,0,SIRS Kemenkes,2026-LIVE
3579004,RS Punten,Jl. Kenanga No. 300,+62341512223,3579,D,swasta,SWASTA/LAINNYA,RSU,-7.839175,112.52835,1,0,SIRS Kemenkes,2026-LIVE
3578795,RS Ibu dan Anak Ferina,Irian Barat 7 sampai dengan 11,(031) 5057557,3578,C,swasta,Perusahaan,RSIA,,,0,1,SIRS Kemenkes,2026-LIVE
3506065,RS Gigi Mulut IIK Bhakti Wiyata,Jl. KH. Wachid Hasyim No. 65,(0354) 774040,3506,C,swasta,SWASTA/LAINNYA,RSK GM,-7.82285,112.011855,1,0,SIRS Kemenkes,2026-LIVE
3505043,RS Umum Medika Utama,Jl. Kusuma Bangsa No 01,(0342)442555,3505,C,swasta,SWASTA/LAINNYA,RSU,-8.125382,112.207302,1,0,SIRS Kemenkes,2026-LIVE
3524048,RS Umum Citra Medika Lamongan,Jl. Lamongrejo No. 28,0322 312444,3524,D,swasta,SWASTA/LAINNYA,RSU,-7.11976,112.41662,1,0,SIRS Kemenkes,2026-LIVE
3515143,RS Umum Mitra Sehat Mandiri Sidoarjo,Jl. Raya Krian- Mojosari KM 3,3199891626,3515,D,swasta,SWASTA/LAINNYA,RSU,-7.473677,112.749111,1,0,SIRS Kemenkes,2026-LIVE
3514054,RS Sahabat,surabaya malang kilometer 50,(0343) 6743777,3514,D,swasta,Perorangan,RSU,-7.688058,112.709333,1,0,SIRS Kemenkes,2026-LIVE
3528028,RS Umum Daerah Waru Pamekasan,Jl. Raya Waru,0324-510501,3528,D,pemerintah,Pemkab,RSU,-6.939183,113.555476,1,0,SIRS Kemenkes,2026-LIVE
3505044,RS Umum Wava Husada Kesamben,Jl. Raya Kesamben Jugo No. 1,0342 331999,3505,D,swasta,SWASTA/LAINNYA,RSU,-8.141708,112.432567,1,0,SIRS Kemenkes,2026-LIVE
3525101,RS Umum Daerah Umar Mas'ud Bawean,Jl. Pendidikan No. 2,325421119,3525,D,pemerintah,Pemkab,RSU,-5.848336,112.661089,1,0,SIRS Kemenkes,2026-LIVE
3572073,RS Islam Aminah,Jl. Kenari No.54,+6282228815210,3572,C,swasta,Organisasi Islam,RSU,-8.11494,112.163403,1,0,SIRS Kemenkes,2026-LIVE
3573260,RS Ibu dan Anak Refa husada,Jl. Mayjend Sungkono No. 9,(0341) 754075,3573,C,swasta,Perorangan,RSIA,-8.03569,112.64263,1,0,SIRS Kemenkes,2026-LIVE
3527013,RS Nindhita,Jl. Syamsul Arifin 87,081331617110,3527,D,swasta,Perorangan,RSU,-7.0,113.0,1,0,SIRS Kemenkes,2026-LIVE
3526029,RS Umum Anna Medika Madura,Jl. RE Martadinata No.10,(031) 35901234,3526,D,swasta,SWASTA/LAINNYA,RSU,-7.049669,112.727615,1,0,SIRS Kemenkes,2026-LIVE
3501019,RS Umum Medical Mandiri Pacitan,"Jalur Lintas Selatan, Suruhan",0357-883989,3501,D,swasta,Perusahaan,RSU,-8.207562,111.124465,1,0,SIRS Kemenkes,2026-LIVE
3520016,RS Ibu dan Anak Melati Magetan,Jl. Ahmad Yani No. 90,0351 895451,3520,C,swasta,SWASTA/LAINNYA,RSIA,-7.651715,111.322691,1,0,SIRS Kemenkes,2026-LIVE
3509140,RS Siloam Jember,Jl. Gajah Mada No.104,3312861900,3509,C,swasta,SWASTA/LAINNYA,RSU,-8.173807,113.687774,1,0,SIRS Kemenkes,2026-LIVE
